comune,delta_rd_percent,delta_ru_totali,delta_ru_pro_capite
LEMIE,0.0,0.0,0.0
LEMIE,-50.59,-198.464,-1078.608695652174
LEMIE,0.0,0.0,0.0
LESSOLO,78.05,887.997,509.7571756601607
LESSOLO,0.0,0.0,0.0
LESSOLO,0.0,0.0,0.0
LESSOLO,-70.05,-902.934,-502.46744574290483
LEVONE,-70.81,-144.201,-336.9182242990654
LEVONE,0.0,0.0,0.0
LEVONE,0.0,0.0,0.0
LEVONE,63.12,128.949,284.0286343612335
LOCANA,37.59,712.639,543.9992366412214
LOCANA,0.0,0.0,0.0
LOCANA,0.0,0.0,0.0
LOCANA,-42.35,-775.883,-554.5982844889206
LOMBARDORE,0.0,0.0,0.0
LOMBARDORE,-65.45,-773.827,-460.063614744352
LOMBARDORE,0.0,0.0,0.0
LOMBARDORE,57.73,748.649,435.5142524723677
LOMBRIASCO,-69.43,-401.891,-379.1424528301887
LOMBRIASCO,70.99,399.428,371.5609302325581
LOMBRIASCO,0.0,0.0,0.0
LOMBRIASCO,0.0,0.0,0.0
LORANZE',71.64,467.241,409.1427320490368
LORANZE',0.0,0.0,0.0
LORANZE',-68.48,-467.419,-405.3937554206418
LORANZE',0.0,0.0,0.0
LUSERNA SAN GIOVANNI,0.0,0.0,0.0
LUSERNA SAN GIOVANNI,-54.43,-3704.498,-517.3879888268157
LUSERNA SAN GIOVANNI,52.34,3731.658,521.0357442055292
LUSERNA SAN GIOVANNI,0.0,0.0,0.0
LUSERNETTA,0.0,0.0,0.0
LUSERNETTA,0.0,0.0,0.0
LUSERNETTA,-43.13,-158.47,-318.2128514056225
LUSERNETTA,43.3,176.764,350.72222222222223
LUSIGLIE',0.0,0.0,0.0
LUSIGLIE',0.0,0.0,0.0
LUSIGLIE',-46.66,-172.575,-314.9178832116788
LUSIGLIE',52.44,202.511,365.543321299639
MACELLO,0.0,0.0,0.0
MACELLO,0.0,0.0,0.0
MACELLO,-55.45,-522.059,-449.27624784853697
MACELLO,66.01,574.202,487.8521665250637
MAGLIONE,-74.47,-222.476,-536.0867469879518
MAGLIONE,0.0,0.0,0.0
MAGLIONE,0.0,0.0,0.0
MAGLIONE,76.46,207.655,493.24228028503563
MARENTINO,0.0,0.0,0.0
MARENTINO,70.54,480.966,373.7109557109557
MARENTINO,0.0,0.0,0.0
MARENTINO,-70.16,-438.591,-333.5292775665399
MASSELLO,-56.54,-33.843,-604.3392857142857
MASSELLO,54.45,32.912,577.4035087719299
MASSELLO,0.0,0.0,0.0
